run_idx	sib_mortality	maternal_age_effect	mat_mortality	attenuation_cutoff	if_epi	if_invasion	k_s	x0_s	L_s	max_age	maternal_age_effect_quadratic_term	maternal_age_effect_vertex_x	epi_h	status	stop_reason	final_year	menopause_age_report	menopause_age_mean	dominant_allele	dominant_allele_frequency
36	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.741592032123414	-24	0.10209185592485567
37	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.60556923196673	-22	0.12127531496120617
38	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4150	>46	46.60364607741269	-23	0.12352583920028878
39	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4150	>46	46.76335680965535	-25	0.10979448663862539
40	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4000	>46	46.64955015905309	-22	0.11299763097132005
41	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.59629508057829	-23	0.12350755933988974
42	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.71158405676843	-24	0.11379960345636576
43	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.680776283199215	-24	0.12127200732639917
44	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.80367220652107	-23	0.10791369207535866
45	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.794657244156475	-23	0.10467505631193111
46	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	5100	>46	46.63233792152138	-22	0.1258624139193588
47	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.956328744323514	-21	0.13390125520026083
48	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.6243255844393	-23	0.09659958863805025
49	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.6880351279501	-23	0.12763006536709132
50	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4250	>46	46.608186105980614	-21	0.1166806542570793
51	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4200	>46	46.635358562187236	-21	0.10018461121256514
52	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.86733232812154	-22	0.11190070309914947
53	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.46748728611944	-23	0.15062669428365116
54	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.88624702489937	-24	0.12328542796836564
55	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.68709283905658	-24	0.10610091852216719
56	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.70174112511327	-21	0.11424965105850221
57	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.76381153172158	-19	0.11481194407434911
58	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.736499520797906	-23	0.11082253854346458
59	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.68059459686695	-22	0.1193255460750407
60	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.694505945009425	-22	0.13214139269802433
61	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	5000	>46	46.61113751950332	-24	0.13583422349708557
62	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.75579991158495	-21	0.129367648793614
63	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.758626984952514	-23	0.11766899871428455
64	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.57118441060721	-23	0.12886229023332654
65	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.74439832834022	-23	0.1290150436443315
66	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	3950	>46	46.93462969603814	-20	0.09343805740477745
67	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.58484390754939	-22	0.14480900606185532
68	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.64323797316854	-23	0.13288912542073825
69	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.70097059514374	-24	0.11694340787266716
70	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4000	>46	46.865027782166315	-23	0.1097659605586348
71	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.76853987393135	-24	0.12802014058154756
72	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4200	>46	46.804837046316464	-20	0.12561869933671618
73	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.65760296921154	-24	0.12456001409510803
74	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.57968726983644	-24	0.11457850128792677
75	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.52723555035493	-23	0.15567306462942476
76	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.73538981663692	-21	0.11510597542212139
77	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.68632334170745	-24	0.12325321563420066
78	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.653716257485215	-24	0.11619003433008526
79	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.326391921729	-22	0.12567822845709575
80	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	5300	>46	46.42738220270119	-22	0.12227706272923676
81	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4250	>46	46.968271743371766	-20	0.09247481829656376
82	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.47371441575886	-24	0.13763646769968524
83	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.651612818858474	-22	0.11929553258220471
84	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.931934439027394	-21	0.11968568149413156
85	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4100	>46	46.75701821280665	-22	0.13766642450458366
86	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4150	>46	46.97498153993484	-22	0.10402606195760815
87	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4150	>46	46.88772662301183	-26	0.08704061519281682
88	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.58880539482123	-22	0.13698726764162708
89	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.778763604076765	-23	0.11003682698904518
90	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4300	>46	47.07764719416594	-23	0.10018608426204892
91	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	5050	>46	46.53263929762004	-23	0.1266588720847253
92	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4150	>46	46.75248505699409	-24	0.1049322208211497
93	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.59920827913706	-24	0.11418105900403307
94	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4100	>46	46.525662886053716	-21	0.11220464414695863
95	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	5000	>46	46.703773172236126	-22	0.11889447095201067
96	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.65315312621709	-22	0.10994612980103202
97	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.64693514558235	-22	0.14015378457318614
98	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.66179622527414	-24	0.11114793898137137
99	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4250	>46	46.729125312178276	-25	0.11456444914667334
100	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4150	>46	46.8620490516751	-23	0.09549662555517717
101	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4200	>46	46.85511706540725	-22	0.10319639677211179
102	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.54754568102883	-25	0.12115705630456358
103	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.56472322293884	-23	0.12581390035154316
104	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.66762450976222	-23	0.14955524716627447
105	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.58780394117496	-23	0.13318601145259717
106	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.547626995014475	-23	0.11593421422629772
107	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4900	>46	46.83845548832612	-22	0.1139337384853158
108	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.52361028566484	-23	0.15091618231197612
109	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4250	>46	46.65438727862925	-22	0.12644287707136034
110	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.749516663439515	-22	0.13170767399157415
111	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4050	>46	46.85715805235315	-24	0.11209715511549895
112	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.46495697435095	-23	0.15033191377217167
113	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.601416208702894	-24	0.12129048698568458
114	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4250	>46	46.969090402405115	-24	0.11538818219074481
115	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.547482202808226	-22	0.1179623978484332
116	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.8679650156416	-21	0.09371717792548238
117	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4250	>46	46.85867317061437	-19	0.09498048468798352
118	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4850	>46	47.04189314626274	-23	0.10174185264541452
119	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.729256646944286	-24	0.11503777877238872
120	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4100	>46	46.87442990263651	-24	0.12049935095980935
121	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4200	>46	46.922981679294935	-25	0.12629028208370502
122	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.580849234893456	-24	0.12566915056201858
123	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.659635131935744	-23	0.11102163779315082
124	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.65903994124588	-24	0.11164489067870989
125	1	0	0	0.0	0	False	0.15	3.0	1.1	70	NA	NA	NA	failed	early_stop_failed	4950	>46	46.715525346207016	-24	0.11581287406835203
126	1	0	0	0.0	0	False	0.15	3.0	1.5	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.39187241851377	-25	0.13233327681864507
127	1	0	0	0.0	0	False	0.15	3.0	2.0	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.56276890540935	-24	0.14524886104692614
128	1	0	0	0.0	0	False	0.15	3.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4850	>46	46.651950947864854	-23	0.1203810915026133
129	1	0	0	0.0	0	False	0.15	3.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.75406556613566	-23	0.09620433278883807
130	1	0	0	0.0	0	False	0.15	3.5	1.1	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.52852007580866	-23	0.13708881435882803
131	1	0	0	0.0	0	False	0.15	3.5	1.5	70	NA	NA	NA	failed	early_stop_failed	5100	>46	46.636330385785065	-25	0.12494994550920982
132	1	0	0	0.0	0	False	0.15	3.5	2.0	70	NA	NA	NA	failed	early_stop_failed	5050	>46	46.589777230440404	-24	0.10400103299074791
133	1	0	0	0.0	0	False	0.15	3.5	3.0	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.836239922085184	-23	0.11855298573404267
134	1	0	0	0.0	0	False	0.15	3.5	5.0	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.57712794369559	-25	0.11999149413037964
135	1	0	0	0.0	0	False	0.15	4.0	1.1	70	NA	NA	NA	failed	early_stop_failed	5300	>46	46.519216013088744	-22	0.13440157570774103
136	1	0	0	0.0	0	False	0.15	4.0	1.5	70	NA	NA	NA	failed	early_stop_failed	5550	>46	46.47126838327586	-23	0.1611369507564811
137	1	0	0	0.0	0	False	0.15	4.0	2.0	70	NA	NA	NA	failed	early_stop_failed	5300	>46	46.584488995191684	-22	0.11730681526723044
138	1	0	0	0.0	0	False	0.15	4.0	3.0	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.51027147902434	-22	0.1154317544446174
139	1	0	0	0.0	0	False	0.15	4.0	5.0	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.83560122747211	-23	0.10416567032567135
140	1	0	0	0.0	0	False	0.15	4.5	1.1	70	NA	NA	NA	failed	early_stop_failed	4300	>46	46.74847297882369	-21	0.11669110967711217
141	1	0	0	0.0	0	False	0.15	4.5	1.5	70	NA	NA	NA	failed	early_stop_failed	4300	>46	46.544203137563045	-25	0.11438630067157946
142	1	0	0	0.0	0	False	0.15	4.5	2.0	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.74265896704757	-23	0.12226811111997928
143	1	0	0	0.0	0	False	0.15	4.5	3.0	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.57162009607998	-23	0.11923577368405659
144	1	0	0	0.0	0	False	0.15	4.5	5.0	70	NA	NA	NA	failed	early_stop_failed	5250	>46	46.57688820005677	-23	0.13522542619442843
145	1	0	0	0.0	0	False	0.15	5.0	1.1	70	NA	NA	NA	failed	early_stop_failed	4700	>46	47.0211028196246	-23	0.10309341020398864
