run_idx	sib_mortality	maternal_age_effect	mat_mortality	attenuation_cutoff	if_epi	if_invasion	k_s	x0_s	L_s	max_age	maternal_age_effect_quadratic_term	maternal_age_effect_vertex_x	epi_h	status	stop_reason	final_year	menopause_age_report	menopause_age_mean	dominant_allele	dominant_allele_frequency
0	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.69427443265486	-23	0.11981829842585151
1	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.59933149283063	-22	0.1329423233134127
2	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4950	>46	46.475700634079004	-23	0.1443083120850713
3	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.72035549083765	-21	0.12242078132296327
4	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4650	>46	46.3516130584522	-23	0.14222450013147955
5	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.56664053786155	-22	0.11184796862669957
6	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4900	>46	46.698565296742444	-23	0.11321981979499576
7	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	3900	>46	47.14544072272934	-24	0.08968323683586515
8	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4400	>46	46.636776222895236	-22	0.1330393485978537
9	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.50929228552942	-24	0.1254910509188481
10	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.78452371838562	-23	0.09477071305388333
11	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4350	>46	46.54425118962811	-22	0.12443635012864673
12	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.61203056712933	-23	0.1341751844971696
13	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.60297806976932	-23	0.1393944495320706
14	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.56968412905971	-22	0.12655135220519761
15	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4050	>46	47.14959929827983	-23	0.10395502459013112
16	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.73869248255787	-24	0.13511671616310483
17	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.63811681660295	-23	0.13378531617614758
18	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4700	>46	46.68405786131342	-24	0.1169714912262634
19	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4100	>46	46.725397375217305	-23	0.10704828971185655
20	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4750	>46	46.615072041120705	-24	0.12139410805265585
21	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.52090784797275	-24	0.12644209077310667
22	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4300	>46	46.97807585140545	-24	0.10551527519812748
23	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	5050	>46	46.56132909973686	-23	0.14880707786508313
24	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4800	>46	46.643154759179325	-23	0.14471599757287495
25	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4450	>46	46.61276542540023	-23	0.12512109975399346
26	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4550	>46	46.654625797241714	-23	0.12629796732996243
27	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4500	>46	46.66877119336999	-23	0.11958283114405642
28	0	0	0	NA	0	False	NA	NA	NA	70	NA	NA	NA	failed	early_stop_failed	4600	>46	46.713452126080696	-24	0.11474955392718071
